Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
0,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0
0,7,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,4,0,0,0,2,0,0,0,0,0,2,1,2,0,0,0,1,0
0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,4,0,0,0,1
0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,4,1,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,6,0,0
0,0,0,1,0,3,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0
0,0,0,0,0,2,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,17,0,0
0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,8,0,0
0,0,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0
0,0,0,0,0,1,0,0,0,0,0,0,113,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,18,1,0
0,0,0,0,0,5,0,0,0,0,0,0,118,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,13,0,0
0,0,0,0,0,2,0,0,0,0,0,0,123,0,0,1,0,0,0,9,0,0,0,0,0,2,0,0,0,0,20,0,0
0,0,0,1,0,3,0,0,0,0,0,0,133,0,0,5,0,0,0,13,0,0,0,0,1,0,0,0,1,0,22,0,0
0,0,0,1,0,0,0,0,0,0,0,0,128,0,0,2,0,0,2,14,0,0,0,0,0,0,0,1,0,0,41,0,0
0,2,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,57,1,0
0,1,0,0,0,2,0,0,0,0,0,0,106,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,89,0,0
0,1,0,0,0,1,0,0,0,0,0,0,118,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,96,1,0
0,0,0,0,0,3,0,0,0,0,0,0,149,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,112,0,0
0,0,0,0,0,2,0,0,0,0,0,0,121,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,31,0,0
0,0,0,1,0,2,0,0,0,0,0,0,124,3,0,0,0,0,0,3,0,0,0,2,3,1,0,4,0,0,29,0,0
0,0,0,0,0,1,0,0,0,0,0,0,115,0,0,0,3,0,0,9,0,0,0,0,2,0,0,0,0,0,28,0,0
0,0,0,0,0,4,0,0,0,0,0,0,78,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,28,0,0
0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,3,0,0,0,1,1,5,0,0,0,0,27,0,0
0,1,0,0,0,0,0,0,0,0,0,0,95,0,0,0,1,0,0,1,0,0,0,0,0,7,0,1,0,0,26,0,0
